Player,Role,Level,Kills,Deaths,Assists,CS,Golds,GPM,Tournament_name,Match_name,Players_team,Opponents_team,Winning_team
ACD,TOP,17,5,4,5,245,14342,464,EMEA Masters Summer 2023,game_1,MCK,GTZ Esports,MCK
Cboi,JUNGLE,15,2,0,10,162,10886,352,EMEA Masters Summer 2023,game_1,MCK,GTZ Esports,MCK
Six10,MID,16,3,5,8,247,12394,401,EMEA Masters Summer 2023,game_1,MCK,GTZ Esports,MCK
Vzz,ADC,16,3,1,4,335,15066,487,EMEA Masters Summer 2023,game_1,MCK,GTZ Esports,MCK
Click,SUPPORT,13,2,0,10,28,8073,261,EMEA Masters Summer 2023,game_1,MCK,GTZ Esports,MCK
CPM,TOP,15,3,1,4,203,10882,352,EMEA Masters Summer 2023,game_1,GTZ Esports,MCK,MCK
Time,JUNGLE,15,5,4,4,197,11590,375,EMEA Masters Summer 2023,game_1,GTZ Esports,MCK,MCK
Heroic,MID,16,2,4,2,273,12880,416,EMEA Masters Summer 2023,game_1,GTZ Esports,MCK,MCK
Avra,ADC,13,0,4,1,263,10953,354,EMEA Masters Summer 2023,game_1,GTZ Esports,MCK,MCK
Nightmares,SUPPORT,11,0,2,1,29,6008,194,EMEA Masters Summer 2023,game_1,GTZ Esports,MCK,MCK
ACD,TOP,15,5,2,10,212,12613,478,EMEA Masters Summer 2023,game_2,MCK,GTZ Esports,MCK
Cboi,JUNGLE,14,2,1,14,143,9721,369,EMEA Masters Summer 2023,game_2,MCK,GTZ Esports,MCK
Six10,MID,15,3,2,13,204,10137,384,EMEA Masters Summer 2023,game_2,MCK,GTZ Esports,MCK
Vzz,ADC,14,8,1,6,224,12995,493,EMEA Masters Summer 2023,game_2,MCK,GTZ Esports,MCK
Click,SUPPORT,11,1,3,12,27,6456,245,EMEA Masters Summer 2023,game_2,MCK,GTZ Esports,MCK
CPM,TOP,13,2,5,4,156,8149,309,EMEA Masters Summer 2023,game_2,GTZ Esports,MCK,MCK
Time,JUNGLE,12,4,4,2,144,8885,337,EMEA Masters Summer 2023,game_2,GTZ Esports,MCK,MCK
Heroic,MID,13,2,4,4,171,8146,309,EMEA Masters Summer 2023,game_2,GTZ Esports,MCK,MCK
Avra,ADC,13,1,3,4,250,9976,378,EMEA Masters Summer 2023,game_2,GTZ Esports,MCK,MCK
Nightmares,SUPPORT,10,0,3,5,27,5323,202,EMEA Masters Summer 2023,game_2,GTZ Esports,MCK,MCK
CPM,TOP,13,2,4,0,156,7341,332,EMEA Masters Summer 2023,game_3,MCK,GTZ Esports,GTZ Esports
Time,JUNGLE,11,1,6,1,108,6791,307,EMEA Masters Summer 2023,game_3,MCK,GTZ Esports,GTZ Esports
Heroic,MID,12,0,5,0,175,6928,313,EMEA Masters Summer 2023,game_3,MCK,GTZ Esports,GTZ Esports
Avra,ADC,11,0,6,0,185,7025,318,EMEA Masters Summer 2023,game_3,MCK,GTZ Esports,GTZ Esports
Nightmares,SUPPORT,9,0,3,1,23,4332,196,EMEA Masters Summer 2023,game_3,MCK,GTZ Esports,GTZ Esports
ACD,TOP,14,5,2,7,183,9855,446,EMEA Masters Summer 2023,game_3,GTZ Esports,MCK,GTZ Esports
Cboi,JUNGLE,14,4,0,14,138,10055,455,EMEA Masters Summer 2023,game_3,GTZ Esports,MCK,GTZ Esports
Six10,MID,15,6,0,6,228,11666,528,EMEA Masters Summer 2023,game_3,GTZ Esports,MCK,GTZ Esports
Vzz,ADC,13,7,0,1,224,12374,560,EMEA Masters Summer 2023,game_3,GTZ Esports,MCK,GTZ Esports
Click,SUPPORT,10,2,1,11,24,6199,280,EMEA Masters Summer 2023,game_3,GTZ Esports,MCK,GTZ Esports
